,Cast Iron,Steel,Cu,Al,EE,Concrete,Composites,Others,Nd,Dy
2020,5047.088671946887,22793.36089371161,321.33779719984454,217.85902675327827,193.5173735861341,105636.79761566235,3070.833115152586,485.6525680527179,11.623128254007458,1.1902577362786149
2021,4321.894937392793,18934.97104351354,254.02657838196478,180.5121868806492,161.87559420795264,89357.71421583043,2633.7978713975604,426.7428837467276,11.222580913541469,1.1081544315206382
2022,78046.1799413875,380628.09301748534,5672.287109111895,3661.935103668781,3165.6328164590263,1681087.4073084483,47517.09647609176,7297.318988197072,135.81115713933588,15.241255423149093
2023,24159.278062659545,115803.73669542038,1682.4126556894864,1112.6220459412575,966.6157291823861,516556.06885484187,14725.143506124603,2296.8899602417805,46.42737980607512,5.025242789505164
2024,35481.0299741033,171194.6953066746,2497.471711982229,1645.706167118225,1426.4334050963812,760490.8905426662,21629.268518462733,3366.2704949997456,66.49099927320475,7.257803273697759
2025,2446.427272191613,8873.805281279165,41.93594323762454,83.18758029853984,78.10743323990442,46439.747906002216,1536.5423971712335,310.8937419869977,12.179102486837515,1.026179954318816
2026,37347.64650715865,180284.04965772372,2594.512874708068,1733.2535371591666,1500.5949412500236,799977.3583477173,22800.287212106425,3579.0240280819007,71.75989368854835,7.754338575395
2027,21677.072606228645,103406.31138573498,1418.820368255509,993.3541977771346,861.1823552212356,461189.3804775095,13283.47798993341,2142.7527443244376,46.50068492378241,4.829768041013836
2028,23678.574368282872,113422.21269255661,1547.2687540888198,1089.9818752658293,942.986361263943,504275.0335291164,14526.533540107213,2351.526124119836,50.75908996312535,5.268642445736086
2029,22310.716180251577,106955.84733602032,1429.055911345845,1027.992325879529,887.7826212476513,474680.49022053543,13720.51069802556,2246.3061666190024,49.229312683903686,5.054749687525803
2030,32225.735875212227,152892.28475023663,2115.2143833985583,1472.0557197478452,1260.3978174806011,678414.1481042365,20045.585151692274,3173.8386508011854,65.95277870848923,6.92900888049508
2031,110451.7348421751,532523.4282745703,7823.158005707179,5129.160592507825,4399.859740824566,2351709.062523028,68101.52695868311,10445.751626551546,196.74573366288476,21.794312675835624
2032,114229.84430730785,551327.878309872,8094.418735155294,5310.784158805045,4553.249958627166,2432794.939928695,70453.9101684833,10810.155074569982,202.9827306842161,22.501511943834558
2033,109701.72245980994,530623.3051214444,7773.087518349713,5112.45612460474,4377.92617374524,2337441.9931139005,67709.35767072534,10402.41062322105,194.43222838468435,21.559240538360093
2034,105939.35679269327,512632.98807912663,7506.370790832218,4939.338079794032,4228.456982425812,2257343.8708609417,65413.936376739104,10050.60599479006,187.50131262269974,20.802594199043604
2035,98726.84184790927,478134.58520267834,6989.395549017554,4607.195848768588,3942.655584518773,2104139.419181282,61006.02657793285,9381.753862924257,174.43040010590738,19.357117002579955
2036,35893.5427441632,174107.5676048615,2420.3821519224766,1679.3037336423695,1424.748640728351,760758.2650811935,22432.83480971346,3541.368828460516,68.09039583929322,7.331172661298335
2037,34785.19526517096,168740.87044433807,2366.36230810071,1627.6616826413608,1381.0042772974662,737376.8901352884,21737.82754421165,3413.0986144929466,64.78467960266843,7.032186880145966
2038,36737.394200240524,179215.14001955203,2541.4237962903,1729.8478850621013,1464.575305550138,780495.7795467166,22947.346631543536,3580.943221582888,65.82286197959934,7.229682501622993
2039,34162.645635394896,166627.6930184537,2386.476134887891,1608.0457715326531,1362.9054884347663,726274.2331333328,21329.95402157496,3306.101691278833,60.02117429272804,6.658523920393434
2040,33941.67476676467,161868.8342299057,2378.3279375051984,1562.4252361281465,1322.2654433785922,712147.8095090513,21403.83011356715,3221.2802286583255,57.47607605425397,6.468663255301583
2041,101889.00849074445,488370.6940708946,7353.407788084922,4709.820592072698,4015.753797783612,2155135.011339286,63383.51551350621,9473.552989467176,167.7525368676543,19.103085076135656
2042,101558.6726416819,486630.0807996151,7345.4553772454265,4693.877116941502,3998.401974818181,2146490.4482299206,63120.41694761872,9417.350724286289,166.92394247998692,19.018827203796718
2043,95714.12484786657,457194.3093864314,6925.110596792314,4408.454864513119,3761.885925558611,2021709.4948652615,59471.55100027396,8848.822399757742,157.34515129010094,17.944121703702276
2044,90758.85453705187,432680.6648845498,6559.943671365498,4171.7029860168,3561.465275570703,1915522.3875724776,56403.57341178118,8383.255624125884,149.66316894976092,17.055860511242987
2045,88428.29840917914,420470.0034037067,6377.690134681883,4053.296724634246,3463.1620179410324,1864515.6134327967,54933.874189660826,8161.5187646946,147.20178903437676,16.735278665330686
2046,62411.85281596941,295752.77321801014,4494.117048675041,2851.791805793657,2432.5130578128046,1312155.9825244835,38884.55031375827,5752.183223806984,103.33974195532781,11.757341191034028
2047,59184.96933648511,280110.0523717911,4258.253580456799,2701.1223440136846,2303.055483331465,1243133.8603201155,36903.783790015594,5452.955137257146,97.95190579338467,11.144347324020691
2048,57724.23070797631,272983.2667249255,4151.025086260639,2632.497784066732,2243.97311498947,1211736.031049087,36011.095835966174,5317.257990886746,95.50699075947513,10.866180379795214
2049,55551.26589654055,262446.99283344694,3992.1680945755515,2531.013640370036,2156.7700574908295,1165248.5814972543,34677.559878875705,5115.741042222388,91.87841864048178,10.453344430797777
2050,60001.325117593515,283748.8626062836,4314.732142942071,2736.3128408323246,2332.460291350001,1259527.4450508496,37432.32875598716,5526.9707754697965,99.27361490963155,11.294723014350282
