,Cast Iron,Steel,Cu,Al,EE,Concrete,Composites,Others,Nd,Dy
2020,5047.088671946887,22793.36089371161,321.33779719984454,217.85902675327827,193.5173735861341,105636.79761566235,3070.833115152586,485.6525680527179,11.623128254007458,1.1902577362786149
2021,18034.428051698844,86261.24589688124,1264.7758610115268,828.5855746787076,720.9520973765608,385533.4742078745,10980.729160772973,1702.6173217825024,34.224627462460525,3.7251815718109285
2022,18080.98517120646,86208.88169605844,1252.2593074310143,827.8965930060251,720.7795479581732,385904.6000122265,11015.790967591258,1717.893324000064,35.22272537980353,3.796940876872135
2023,18113.144096891345,86118.21661052012,1236.7527971031245,826.873345127666,720.107559824233,385966.1692791842,11044.81220935092,1734.3310434056552,36.2853109583793,3.8713424451742826
2024,18125.44211289571,85981.62279519445,1218.193271295841,825.4569448425004,718.825168821174,385629.1212362308,11064.77994755955,1751.430208043811,37.37792173023361,3.9455017397756995
2025,18112.856190414594,85793.38611486075,1196.7066671048792,823.60480147103,716.846623419276,384817.526288552,11072.826075776513,1768.5672458862593,38.45870554984411,4.016106711734931
2026,30578.980068226796,147051.01435640085,2095.595228312624,1413.356946690617,1224.6282520724603,653781.5453661026,18680.14447731714,2949.2375096439587,60.40581496329919,6.462543425177552
2027,30505.564461074697,146752.74958247977,2069.5675157447617,1410.6010024210186,1221.1306093706046,651875.175938936,18657.453336934042,2964.1944859858327,61.310011465357626,6.514679399066235
2028,30389.633595890864,146372.40609218297,2041.9401793787597,1407.1558688011173,1216.6043350002547,649226.5935741918,18611.610293236903,2975.952614052325,62.01653564870348,6.549443300862007
2029,30258.15412243382,145976.4562063985,2014.8606734450602,1403.5992971495873,1211.8092454188795,646336.4820707733,18558.18130760552,2985.7707741995773,62.56071804619971,6.571512536307175
2030,30311.116268209556,143634.77384358563,1975.5069474804725,1382.8773228828627,1183.8366592647953,637540.9754611946,18868.293798814215,2996.421430957638,62.759063001803,6.565648139310855
2031,30970.317774842835,147246.57719175058,2013.861735182109,1418.216775996487,1211.3971697437087,651682.1611689386,19309.187942128177,3075.7085408729463,64.04339187508491,6.6962808854830005
2032,30766.168247823716,146758.97365433894,1994.1731296610196,1414.0159860577733,1205.1562577656837,647630.145862196,19215.97628809684,3070.9089912475342,63.633042914417686,6.6471872380323145
2033,30480.34502159094,146635.89055119167,1983.0846482940517,1413.9183107178815,1200.1988479999288,643074.3022962483,19074.25571548678,3056.627314905203,62.16768265616456,6.511018410230848
2034,30295.894951716968,146008.3664657528,1978.0689871092368,1408.0276284576023,1194.4628760936664,639568.9275553426,18973.661535925596,3036.6887393847946,61.21288246361699,6.434296642211387
2035,30097.933846027776,145534.66994240228,1974.0105651321726,1403.5969360309066,1190.2919853812828,636474.2280120899,18870.008519190902,3018.38685176177,59.85630750439941,6.321602563697553
2036,27868.093290461253,135322.98441599787,1834.9717915882927,1305.679096615908,1104.0377689619254,589498.148976322,17496.377377715442,2797.7956630702574,54.70589099948826,5.808368490346753
2037,27788.52162684773,134964.20405431237,1856.3540724823424,1302.2627703985906,1101.7844614353448,588191.9904056557,17431.174586803492,2765.0274462193256,53.12046477063,5.705106408384393
2038,27751.234410251574,135813.42165255663,1886.1901301573184,1311.7326572398888,1105.742365720244,588820.8103183523,17417.8270185806,2748.4891308202705,50.83935197459799,5.524953652539676
2039,27783.160555551196,135880.0188441953,1921.9478777408901,1311.804127444272,1108.835533168035,590415.5574683244,17399.096674934568,2715.4498392016426,49.39209699375296,5.449214839633903
2040,28034.186594802584,133983.64475250198,1954.0268923092417,1293.4906786770966,1093.1618942951063,588313.375520228,17714.186988925525,2677.375337037194,47.708390471499854,5.357357867169023
2041,-1635.9192065681054,-7916.094721958929,-158.00591769983134,-72.9041879530912,-79.0907266433145,-40566.56480442471,-636.5703105746143,-97.23769461583561,-4.385949854610111,-0.48174146017252184
2042,-1188.435181251396,-5850.873453289474,-108.75413065059342,-52.20660215192038,-64.86755793370912,-32455.357380561996,-425.1695064678024,-81.13166739388998,-3.9113733731809788,-0.4177328065043824
2043,-1049.9159301411637,-6498.4626927603385,-93.93094555865082,-60.245957931737166,-63.6150275428854,-29983.070835511084,-383.04228768998655,-95.98095987783427,-3.52815258182612,-0.3590236918879661
2044,-976.7151477562948,-6803.634689970786,-93.22643139165189,-63.74793073553337,-64.06190791085123,-29175.084574479377,-350.0721472537007,-96.13742280004908,-2.8358251600639335,-0.2945089701689003
2045,-865.7040666874236,-7219.4352001354855,-97.42737288607032,-68.5286036896457,-64.84322297773338,-28094.743747754022,-317.5531599621536,-91.68355724415869,-1.2258739396561111,-0.1518805509938419
2046,11131.734296354698,50572.682133197726,779.8976779026125,488.6839164037747,411.0040358250378,226720.9450999801,7117.837660556117,1014.7545590618743,18.1555804438447,2.065626928813346
2047,11137.732832158305,50523.8569834838,779.5577456524998,488.2489506347806,410.42664325152555,226587.88014633942,7128.156549912677,1014.903287048719,18.15558044384469,2.0656269288133418
2048,11143.32081634608,50478.51876665093,779.2421143400065,487.8449575709319,409.8902520461577,226464.4495072317,7137.771517649337,1015.0416931299224,18.155580443844414,2.0656269288133133
2049,11145.19227084487,50464.21365392927,779.1426725834758,487.7169364293113,409.7195885143042,226426.3015042796,7141.005697934652,1015.0871828925774,18.155580443844727,2.0656269288133435
2050,11143.380026236686,50480.609956055996,779.2571003937028,487.8619727563082,409.91083410497663,226472.47391922248,7137.914535815718,1015.0406336614483,18.155580443844755,2.0656269288133444
