,Cast Iron,Steel,Cu,Al,EE,Concrete,Composites,Others,Nd,Dy
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,17979.728902211933,226746.07955214806,950.4975885842683,586.529053606599,436.91189218487796,5731.516521175259,9746.292167501051,1569.681834910244,63.55389147884036,6.246675541442628
2027,17656.156544467867,222527.6622162089,933.6263298604704,575.914819300183,428.9180528608314,5624.464932213664,9564.553914323216,1542.5344446908898,62.366864834356875,6.130003218021356
2028,17341.452871583144,218438.94131216107,917.2081758921315,565.6023878020015,421.1775330124281,5520.976283880139,9388.841424754924,1516.1247297597533,61.21927820018716,6.017207447632218
2029,16993.77066770628,213958.04609709012,899.0467285340322,554.2377547365961,412.71582943966365,5408.283196065276,9197.441856893272,1486.9398352404507,59.96944376330303,5.894361817559273
2030,18078.79734765777,220289.36010353663,934.8487451298047,567.9272503314932,413.81914135873063,5361.8305189117955,9944.039839332854,1574.660073198121,58.67842231859438,5.767467958387142
2031,23397.502938295376,285013.58871069935,1210.220108584907,735.0388647255338,535.7724518540402,6940.072111634565,12871.313372950442,2040.0674950139005,75.94935732297706,7.465017975758238
2032,18134.305168016555,220914.0040946967,938.4815564849222,569.861181617717,416.0533429766896,5388.024613355145,9993.01057724057,1585.1212175456028,58.96179080983893,5.7953198989291606
2033,15314.586461976243,186651.24719715936,793.2110639235627,481.53804780734436,352.6679941728306,4566.241957468984,8469.00551418439,1344.2854045572014,49.96490938680593,4.911021629584145
2034,12434.560211168158,151744.60054071748,645.0038321443087,391.462353702201,288.4996665135037,3734.7797596115174,6926.982677262189,1100.1390474108773,40.86041444084987,4.016146120635412
2035,10909.79696494666,133426.0180782266,567.1733922694201,344.1246909435297,256.0529797357481,3314.283348129896,6147.143196257373,976.7348676588026,36.251370800127006,3.5631258991575314
2036,3515.417444329336,54298.611752378136,185.9907727878655,112.67546756546693,90.35563444055298,1169.4107409743376,2168.9745223423574,344.7607855880603,12.768324827288794,1.2549911223005603
2037,2771.280663814648,44246.477781147194,149.29989684331593,90.31765839448703,77.69114224742738,1005.4159941133219,1864.8162341513914,296.50003288035407,10.960855492412671,1.077336019903456
2038,2656.059599498414,43772.96520303292,145.63682267791404,87.98926574930462,80.55718308946673,1042.437096727343,1933.4916904609966,307.4869817114869,11.349957728673829,1.115580643781433
2039,2729.890773189424,46381.30954294169,152.28280324732333,91.9001184348185,88.98390045946944,1151.4250657464966,2135.6484666801002,339.6920481540314,12.523106723335669,1.2308887613044668
2040,2457.375385112643,43251.257103642594,139.24874525804447,82.98069294648428,88.12328875342757,1133.6864125862064,2195.991435732923,345.5446467529647,12.224478623432178,1.2015367777731458
2041,3171.8550878589476,55659.364003514536,179.47220970734162,106.99106083279976,112.94078623446237,1452.9210465728331,2814.3657661274933,442.8839058427933,15.66858180388338,1.54005564124501
2042,4147.626938495641,72115.51527843204,233.5203336173305,139.31170855296762,144.62376553987957,1860.4734535035825,3603.815545340584,567.1473698956954,20.069818477320993,1.9726505899074194
2043,3555.1105030917047,65899.47470363505,207.68810185170327,123.49348329501143,142.3711739720266,1831.4756765618338,3547.6485094489203,558.3278440057659,19.72236645912498,1.938499733339077
2044,3847.3253415598556,72702.5849313944,227.3797888600718,135.10169785627852,160.29564992949742,2062.04425636414,3994.271888393136,628.6306579296922,22.19550345338485,2.181582904252746
2045,3993.8648924838058,77412.84608040896,239.71076162981404,142.28502485214943,175.14308653563114,2253.0335381093514,4364.22785479444,686.8636045629219,24.238048589038875,2.382343456111453
2046,4263.195868703759,83836.58725525127,258.2312213680042,153.21995300430697,192.40220389171677,2475.0495518669163,4794.2835748432335,754.552407244869,26.619052218715353,2.616370893569895
2047,4612.553877591067,91232.2165703407,280.5453903988346,166.47592330358546,210.6138967274241,2709.3214014394794,5248.079122012414,825.9755769921784,29.13595588833368,2.863755865914048
2048,4976.125386082826,98520.24755625342,303.07410080563693,179.90843616378947,227.80436660394568,2930.457480095691,5676.429913348617,893.3929389097672,31.51421460878165,3.0975135084656604
2049,5270.709561219994,104376.6883257333,321.36394022673863,190.84397253159833,241.65904930522305,3108.6828132327614,6021.66055094434,947.727765116805,33.43147611458263,3.285960007614292
2050,5308.731217957379,105976.64774546563,325.6569091368182,193.4095306696629,247.64414320271356,3185.6745620221145,6170.79708719635,971.1998582391507,34.25470670841451,3.366874855442092
