,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,302.4893249851399,257.57505099320656,9.348559517411244,2.299596723494004,140.4830903037524
2027,307.3832244008663,261.71853279475,9.60967454200983,2.327701005357259,143.04535818973142
2028,321.7608535638124,273.7622582151339,10.974553298838948,2.3607552300945334,152.14765796640688
2029,363.32978102518535,308.4704771389559,15.442633799796704,2.413092204264196,179.83932697290294
2030,485.6748410536166,410.99235233600206,26.885512643374,2.708367462559938,256.8991578706178
2031,784.3418923219438,662.043296121843,51.229933885455,3.7266934950401556,435.45357222954897
2032,1025.7022060123502,861.8702170582975,84.99939247811241,3.3801467625174513,616.9555744623193
2033,1512.5095060537324,1267.2743273757037,142.12421608381538,3.5875665417490974,954.2974961493662
2034,2265.330845510304,1894.6259218983378,228.4569699733392,4.067513286936287,1471.062746704344
2035,3384.9140545586615,2828.485224641206,352.70385557688644,5.115325093959994,2229.1588342087252
2036,4801.860690585862,4008.5145286051606,518.3681830873426,5.727025256686039,3211.6595697117623
2037,6833.933113559523,5704.122124207097,740.5710597723262,7.869230210491491,4580.648815070263
2038,9420.018696315998,7862.293578445205,1021.7933867787909,10.703708985007935,6319.772512811465
2039,12590.292592277397,10508.06319943985,1365.8555844786633,14.207272935323711,8451.19764429258
2040,16346.961521270347,13643.083717443786,1773.6896540199846,18.310584536177267,10978.759140442033
2041,20697.821206741584,17274.320123931597,2243.8314935694716,23.19895383291446,13902.059362361053
2042,25569.484357505462,21340.270371790575,2769.2437529737654,28.69424174706456,17174.851005142686
2043,30823.01974255752,25724.354724466,3337.469043314736,34.40159592055684,20711.37164699113
2044,36361.32731476307,30346.366874444113,3933.86386776494,40.53309824709061,24435.9834694769
2045,41975.12468809433,35031.28348590105,4537.061110947156,46.71970334421446,28212.142629991264
2046,47447.53830774908,39598.187422836556,5122.851149504286,52.75342360477285,31892.670539585462
2047,52535.572911410825,43844.251768717695,5664.712882286576,58.35569886308131,35314.030289052076
2048,56995.29256559809,47565.85362945356,6136.114159975556,63.24300110789044,38312.04493933524
2049,60605.191485193965,50578.080873123814,6513.054029832387,67.1535005041921,40737.59551547153
2050,63188.92894527214,52733.67693252024,6776.673731644654,69.8610169328325,42472.2968755242
