,Closed-loop recycling,Open to high- and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,4.8169982319404775e-06,3.9981085325105965e-06,2.7790374415041214e-07,0.0,2.937454606134971e-06
2021,5.270130812015076e-06,4.3742085739725125e-06,3.040460083854851e-07,0.0,3.2137794707994427e-06
2022,5.940695208454333e-06,4.930777023017097e-06,3.4273241587236534e-07,0.0,3.622696472672022e-06
2023,7.679277961923232e-06,6.373800708396283e-06,4.430352670340326e-07,0.0,4.6829019515656135e-06
2024,1.1557282750136477e-05,9.592544682613275e-06,6.667663125078735e-07,0.0,7.047748787550756e-06
2025,1.9029715815668245e-05,1.579466412700464e-05,1.097868220134706e-06,0.0,1.1604514613586622e-05
2026,4.690360489519539e-05,3.8929992063012177e-05,2.7059772054920417e-06,0.0,2.860229620392125e-05
2027,6.800661115841675e-05,5.644548726148589e-05,3.923458336062504e-06,0.0,4.147112445886188e-05
2028,0.00010012231443582345,8.310152098173348e-05,5.776287371297507e-06,0.0,6.1055607570345e-05
2029,0.0001476704497666362,0.00012256647330630805,8.519449024998242e-06,0.0,9.005094500154851e-05
2030,0.00021722562256911712,0.0001802972667323672,1.2532247455910602e-05,0.0,0.00013246639813050995
2031,0.0003430626663525887,0.0002847420130726486,1.979207690495704e-05,0.0,0.0002092031096852619
2032,0.0004739707081225001,0.000393395687741675,2.7344463930144234e-05,0.0,0.00028903216748465185
2033,0.0006485004522796829,0.0005382553753921368,3.741348763152016e-05,0.0,0.00039546218389666733
2034,0.0008773508859605983,0.0007282012353472966,5.061639726695759e-05,0.0,0.0005350175102977707
2035,0.0011725112232492594,0.000973184315296885,6.764487826438032e-05,0.0,0.0007150092916042085
2036,0.0015922429589686974,0.0013215616559440187,9.186017070973253e-05,0.0,0.0009709659810326394
2037,0.0020593973413479045,0.0017092997933187606,0.0001188113850777637,0.0,0.0012558414836219656
2038,0.0026348195294570356,0.0021869002094493393,0.00015200881900713666,0.0,0.0016067397973737899
2039,0.003336450713339008,0.002769254092071376,0.0001924875411541735,0.0,0.0020346016427936035
2040,0.004190716365982197,0.0034782945837652235,0.00024177209803743444,0.0,0.0025555415425802725
2041,0.0052842873890580015,0.004385958532918141,0.0003048627339841154,0.0,0.0032224122957330513
2042,0.006486885057857546,0.005384114598021764,0.0003742433687225507,0.0,0.003955768608408994
2043,0.007903095839442712,0.00655956954673745,0.0004559478368909256,0.0,0.00481938837393868
2044,0.009561666302340557,0.007936183030942661,0.0005516345943658012,0.0,0.00583080154273199
2045,0.011494055320517815,0.009540065916029785,0.00066311857618372,0.0,0.0070091920566937894
2046,0.013752864146794353,0.011414877241839313,0.0007934344700073663,0.0,0.008386636695790418
2047,0.016332747064621927,0.013556180063636198,0.0009422738691128034,0.0,0.009959875587598917
2048,0.01928642322183819,0.0160077312741257,0.001112678262798357,0.0,0.0117610574056688
2049,0.022645175449497092,0.018795495623082584,0.0013064524297786782,0.0,0.013809258739142872
2050,0.026436363371026207,0.021942181597951752,0.0015251748098668964,0.0,0.016121163765176638
