,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0
2027,0.0071456367478058705,0.0,0.0,0.0,0.0
2028,0.06701609272436591,0.0,0.0,0.0,0.0
2029,0.2740595355114519,0.0,0.0,0.0,0.0
2030,0.772386345777164,0.0,0.0,0.0,0.0
2031,1.7554230025207163,0.0,0.0,0.0,0.0
2032,3.466895382257831,0.0,0.0,0.0,0.0
2033,6.204780791721343,0.0,0.0,0.0,0.0
2034,10.30914028946372,0.0,0.0,0.0,0.0
2035,16.144683423764633,0.0,0.0,0.0,0.0
2036,24.07990122664805,0.0,0.0,0.0,0.0
2037,34.460720072943495,0.0,0.0,0.0,0.0
2038,47.57200164298747,0.0,0.0,0.0,0.0
2039,63.601563394171386,0.0,0.0,0.0,0.0
2040,82.60480846690768,0.0,0.0,0.0,0.0
2041,104.46916324506383,0.0,0.0,0.0,0.0
2042,128.8817905139091,0.0,0.0,0.0,0.0
2043,155.3079184677244,0.0,0.0,0.0,0.0
2044,182.9851369285011,0.0,0.0,0.0,0.0
2045,210.93778969353897,0.0,0.0,0.0,0.0
2046,238.01917053986412,0.0,0.0,0.0,0.0
2047,262.9834251558471,0.0,0.0,0.0,0.0
2048,284.58483303918865,0.0,0.0,0.0,0.0
2049,301.6966427967819,0.0,0.0,0.0,0.0
2050,313.43586028753333,0.0,0.0,0.0,0.0
