,Closed-loop recycling,Open to high and middle-end recycling,Open to low-end recycling,Incineration,Discard or landfill
2020,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0
2027,0.10458633141684383,0.0,0.0,0.0,0.0
2028,0.9808737179488773,0.0,0.0,0.0,0.0
2029,4.0112424435440515,0.0,0.0,0.0,0.0
2030,11.304948347129445,0.0,0.0,0.0,0.0
2031,25.696820730157736,0.0,0.0,0.0,0.0
2032,50.77931255774509,0.0,0.0,0.0,0.0
2033,90.96999972726523,0.0,0.0,0.0,0.0
2034,151.33075186335577,0.0,0.0,0.0,0.0
2035,237.3082332683378,0.0,0.0,0.0,0.0
2036,354.4240488363648,0.0,0.0,0.0,0.0
2037,507.88353886993383,0.0,0.0,0.0,0.0
2038,702.0016021609665,0.0,0.0,0.0,0.0
2039,939.6678273908261,0.0,0.0,0.0,0.0
2040,1221.820735157121,0.0,0.0,0.0,0.0
2041,1546.9178715928738,0.0,0.0,0.0,0.0
2042,1910.4539369386425,0.0,0.0,0.0,0.0
2043,2304.632427079716,0.0,0.0,0.0,0.0
2044,2718.269935878311,0.0,0.0,0.0,0.0
2045,3136.993610276347,0.0,0.0,0.0,0.0
2046,3543.8494538012155,0.0,0.0,0.0,0.0
2047,3920.3517726302866,0.0,0.0,0.0,0.0
2048,4247.942566403512,0.0,0.0,0.0,0.0
2049,4509.748743604953,0.0,0.0,0.0,0.0
2050,4692.439083960694,0.0,0.0,0.0,0.0
