,Energy consumption,Energy saved,CO2 emission,CO2 saved,Steel and iron_Energy consumption,Steel and iron_Energy saved,Steel and iron_CO2 emission,Steel and iron_CO2 saved,Cu_Energy consumption,Cu_Energy saved,Cu_CO2 emission,Cu_CO2 saved,Al_Energy consumption,Al_Energy saved,Al_CO2 emission,Al_CO2 saved,Concrete_Energy consumption,Concrete_Energy saved,Concrete_CO2 emission,Concrete_CO2 saved,Composites_Energy consumption,Composites_Energy saved,Composites_CO2 emission,Composites_CO2 saved,REEs_Energy consumption,REEs_Energy saved,REEs_CO2 emission,REEs_CO2 saved
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,6216470.441278712,2409.61569999479,476087.387054484,263.0785707147811,4704347.0753324665,2192.0128940446316,374877.6575655559,245.50544413299872,16195.221286904638,82.67500723096732,4408.16674081428,6.863585505967099,27709.05339307889,134.92721619501688,6850.6212856931215,10.70946962624125,3708.2911892003926,0.0,687.7819825410311,0.0,1441476.6115734056,0.0,87336.52411297693,0.0,23034.188503655703,0.0005825241740558208,1926.635366902742,7.144957401839072e-05
2027,6101196.641323803,2448.1350785238556,467267.9913772475,267.30741780254226,4617232.415313766,2227.801955959361,367935.70809531584,249.5138190674484,15911.713935240103,83.69031823100009,4330.999059296123,6.9478754757811405,27211.988277422526,136.64087209712585,6727.729867737228,10.845486260623892,3639.0288111422406,0.0,674.9357918656397,0.0,1414597.5239284039,0.0,85707.96762625035,0.0,22603.97105782835,0.0019322363689192516,1890.6509367823578,0.00023699868882847964
2028,5989695.589519427,2558.7699346055615,458736.56247195613,279.58205203679694,4532959.705323881,2334.714816712156,361220.22651799675,261.4880594717614,15636.192007620564,84.91983095871926,4256.00492515116,7.0499482305351835,26729.902143442043,139.1220972712448,6608.541763974394,11.04242655471315,3572.07165567045,0.0,662.5171540656166,0.0,1388609.6467212534,0.0,84133.40800722888,0.0,22188.071667559816,0.0131896634417018,1855.8641035393518,0.0016177797872217214
2029,5868113.370866707,2876.4365553990165,449432.03430196905,314.9411294940118,4441044.026441742,2645.373619441186,353895.6958570763,296.2818453774128,15332.437148275432,86.94394971471097,4173.326087696271,7.21798827820242,26200.917515535682,144.06688194895406,6477.758755968608,11.434904979804873,3499.1592278542334,0.0,648.993983527833,0.0,1360301.650634515,0.0,82418.27647962062,0.0,21735.179898783383,0.05210429416545926,1817.9831380794512,0.006390858591722997
