,Cast Iron,Steel,Cu,Al,EE,Concrete,Composites,Others,Nd,Dy
1993,5.447817557563637e-06,3.953993461466622e-05,5.368108545484791e-07,3.8514781210280564e-07,3.1265484471119394e-07,0.00014417674929384706,3.162681297629617e-06,5.615738972217668e-07,3.6e-09,6e-10
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,9.96228867230918e-06,6.748778094287516e-05,9.353792699280518e-07,6.592266494144053e-07,5.282172324772362e-07,0.0002500288118519916,6.038288609995094e-06,1.0099212376868826e-06,7.2e-09,1.2e-09
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,1.044940597327266e-05,6.272301182936429e-05,9.164961524541004e-07,6.1990728244596e-07,4.825526175415077e-07,0.0002383853005023249,6.3434563533898536e-06,1.0586400397565796e-06,7.2e-09,1.2e-09
1998,3.1349469057632126e-05,0.00020983955537299845,2.9223723270299145e-06,2.051765138652717e-06,1.6396841588734054e-06,0.0007793367435072272,1.903104033415104e-05,3.17605276689114e-06,2.16e-08,3.6e-09
1999,0.0016699849306654546,0.010884716471588248,0.00015313785240912616,0.00010663752779379943,8.47250229548162e-05,0.040661968711634085,0.0010201708959734924,0.0001687615658964024,1.1879999999999986e-06,1.9800000000000016e-07
2000,0.0005152184470515853,0.0033232747331182447,4.6985201326205576e-05,3.259610147607812e-05,2.5832274608501092e-05,0.012440080042379504,0.00031417516607696276,5.210349721607087e-05,3.405599999999999e-07,5.676000000000005e-08
2001,0.0010339842113959712,0.006537600084096969,9.387182113578743e-05,6.41845809922238e-05,5.064389477043934e-05,0.024581073484959925,0.0006335568906442819,0.00010307387888631797,7.384800201704579e-07,1.2388000504261435e-07
2002,0.00024110958103488377,0.0014835513156463793,2.1267069622318335e-05,1.4573693678418921e-05,1.143800715225307e-05,0.005621702833011462,0.00015187373273997778,2.4059417707343423e-05,1.4472000000000001e-07,2.4119999999999997e-08
2003,0.0017747040056572392,0.010827301825901582,0.00015644386860507505,0.00010670528549023821,8.344598332170484e-05,0.04101559871766914,0.0010844259566902392,0.0001787463061169332,1.1768401768933395e-06,1.8639001579404777e-07
2004,0.002785258632015586,0.015890366803551735,0.00023536741227274234,0.0001572475218086458,0.00012104532824451628,0.06124004671781795,0.0017537120072091865,0.000277409265846038,1.7654404052142307e-06,2.844900361798418e-07
2005,0.00263152859125255,0.015851827463382127,0.0002308883200853067,0.00015566284656419525,0.00012250687321962677,0.06067306965195632,0.001652482515702938,0.0002583512381285479,1.7710005579077096e-06,2.817000641593865e-07
2006,0.019994132710051352,0.12098257074571728,0.001765103589444775,0.0011866692375740976,0.0009389141175286258,0.46400648581629605,0.012538692508474081,0.0019574491259614314,1.231740269720022e-05,2.009500321468642e-06
2007,0.005734686540847014,0.02698999881401982,0.0005581014835843994,0.0002565780910930545,0.0002386143602848906,0.12719036454883706,0.00331377094868827,0.0003759807871620035,4.408401966075103e-06,8.382004915187828e-07
2008,0.00959443172773728,0.052118037833808174,0.000773448736531397,0.000499972388044853,0.00045181156172128135,0.2294103670623844,0.006082276764721268,0.0009548015237526062,5.651399999999985e-06,9.419e-07
2009,0.02080263662088683,0.11295916387169831,0.0018776531443722643,0.001100299662612583,0.0009088364520449095,0.46571787799783726,0.012779534305226386,0.0017954581264990085,1.414720312310636e-05,2.5472007807765905e-06
2010,0.016077966286243976,0.07456238744502101,0.0014909050231437686,0.0007148531292321267,0.0006442975964141208,0.346919606712474,0.009480740539369566,0.0011401329945841634,1.3447611533204267e-05,2.4312020416888603e-06
2011,0.030201850790426473,0.17198045935484912,0.002630730402595576,0.0016891879405239519,0.001337564637769682,0.6763055817720264,0.019005365965752533,0.002860361550264856,1.6859602196093446e-05,2.874300452766021e-06
2012,0.022242944298391455,0.10976259812289631,0.002109095399946156,0.0010475983018856348,0.0009519051262207931,0.500114345744136,0.013134276461825842,0.001597474118307635,1.737028906842903e-05,3.3182221834099135e-06
2013,0.032320087800372356,0.1458665357356179,0.0030489193462342606,0.0013736323113475643,0.0013405861451654517,0.7215508008114989,0.018827431212460347,0.0021492422206898917,2.4477886125285084e-05,4.672915420576259e-06
2014,0.06060630293715796,0.3115243233836746,0.005344104003412856,0.0030285695571215868,0.0025392859451719954,1.3271190178677892,0.03725489534091092,0.0051158221623023165,3.626741035517243e-05,6.126968713974718e-06
