,Energy consumption,Energy saved,CO2 emission,CO2 saved
2020,212104.2763761875,0.47976257052610005,16331.045786048016,0.05347465984566391
2021,215337.31198540423,2.6337920522482787,16579.974536868674,0.2935642393772936
2022,215364.49089954712,8.576953401788247,16582.067187233224,0.9559930137313305
2023,215422.87037683462,21.342682422309743,16586.562136287706,2.378869784434247
2024,215530.59178126845,44.89791660066841,16594.856184941516,5.004352080586319
2025,215710.0954522644,84.14964218299305,16608.67713527728,9.379375900323765
2026,712835.4190285696,146.0653191584494,54885.021956960634,16.28053903555091
2027,713265.8659668869,240.19033067965935,54918.16437529479,26.771776333505304
2028,713901.0719629658,379.0896150674509,54967.07229164031,42.25358429801222
2029,714812.0164493485,578.2841095412645,55037.21079318227,64.45593706478913
2030,744556.623128886,856.2623491922526,57239.888185117736,95.43958122231258
2031,1605474.0461736799,1236.3444637806263,123425.34070935553,137.8038014004194
2032,1607899.983039996,1747.4709159282418,123611.84144101049,194.77433549957036
2033,1611110.284526604,2424.796908785463,123858.64241279119,270.26962873124006
2034,1615296.2221623773,3309.3755071134065,124180.4481623857,368.8655141346923
2035,1620674.4772453054,4447.827331568448,124593.91667507467,495.7583965965866
2036,3272832.8028284893,5895.812039887362,252846.48114822697,657.1528553003544
2037,3282722.982682745,7719.279182056012,253610.55842461897,860.4013842038535
2038,3295001.2543122703,9995.342438620713,254559.13049143055,1114.1021202110305
2039,3310090.9800713793,12811.27173948869,255724.9046966955,1427.9865018111318
2040,3432988.014581861,16263.66226995437,264934.5742723379,1812.826697201152
2041,5760551.895886297,20462.55409180893,444560.06185510464,2280.8952834189085
2042,5787863.250208766,25532.467667047487,446667.7656977892,2846.080905432906
2043,5820287.035398307,31612.786221624836,449170.0120467427,3523.9310810240877
2044,5858501.042912844,38855.565548476116,452119.1082186783,4331.408040406602
2045,5903214.097212645,47423.285068503945,455569.756445534,5286.638010394371
2046,6422007.649422135,57487.319070837795,495606.7004447679,6408.740823596855
2047,6481922.61417815,69225.49820053301,500230.52832087834,7717.558023727411
2048,6550546.7836370785,82819.28486838234,505526.47314887354,9233.337871868991
2049,6628597.406639314,98450.17238209129,511549.8872968273,10976.333714815726
2050,6716754.32852622,116295.84315235686,518353.2365861523,12966.37542209221
