,Energy consumption,Energy saved,CO2 emission,CO2 saved,Steel and iron_Energy consumption,Steel and iron_Energy saved,Steel and iron_CO2 emission,Steel and iron_CO2 saved,Cu_Energy consumption,Cu_Energy saved,Cu_CO2 emission,Cu_CO2 saved,Al_Energy consumption,Al_Energy saved,Al_CO2 emission,Al_CO2 saved,Concrete_Energy consumption,Concrete_Energy saved,Concrete_CO2 emission,Concrete_CO2 saved,Composites_Energy consumption,Composites_Energy saved,Composites_CO2 emission,Composites_CO2 saved,REEs_Energy consumption,REEs_Energy saved,REEs_CO2 emission,REEs_CO2 saved
2020,0.2532006890547531,0.0001354464567122287,0.013534607927687908,1.4806713170330273e-05,0.19023732694618406,0.0001238304882550822,0.009412784406191399,1.3869014684569208e-05,0.0006424682794749189,4.307242691219184e-06,0.0001494023868838125,3.575824121012153e-07,0.0010977702913052946,7.3085767444322326e-06,0.0002244589893498698,5.80097795410092e-07,0.00014699350476744423,0.0,2.726309207433277e-05,0.0,0.060199754987298834,0.0,0.0036473969198186937,0.0,0.0008763750457225579,1.4902149508421563e-10,7.330213336980012e-05,1.827824975780423e-11
2021,0.26157098748477425,0.0001474977845397512,0.013982175872264689,1.612573094194744e-05,0.19652808836076435,0.00013489799526410315,0.009724046038683654,1.5108575469579553e-05,0.0006642987815919957,4.669761026551135e-06,0.00015447894743529842,3.876782739023584e-07,0.0011345089709196572,7.928793775952324e-06,0.00023197087681995547,6.293257840105656e-07,0.00015183845867592442,0.0,2.816169249012508e-05,0.0,0.062186992174117016,0.0,0.003767800114078855,0.0,0.0009052607387053276,1.2344731446105053e-09,7.571820275680138e-05,1.514144549666565e-10
2022,0.2616249838627297,0.00016053570470110786,0.013985201569793482,1.756443518564854e-05,0.19657053339797936,0.00014723682781239814,0.009726146183754187,1.649052471498859e-05,0.000665019080244981,4.909714136160069e-06,0.00015464644883803405,4.0759890941706233e-07,0.0011351852483670094,8.378875093313412e-06,0.00023210915397461613,6.650497271374323e-07,0.00015185566087968776,0.0,2.816488300705182e-05,0.0,0.062197027092918994,0.0,0.003768408112100386,0.0,0.0009053633823396539,1.0287659236222366e-08,7.572678811920949e-05,1.2618341054529595e-09
2023,0.261752294072438,0.0001891160597682477,0.013992143410783673,2.0735646173241735e-05,0.196668023921311,0.0001748288580329579,0.009730969933606533,1.9580832099691283e-05,0.0006659137723162467,5.208920899284028e-06,0.0001548545044498728,4.3243871616697595e-07,0.0011361705653691043,9.036410753906431e-06,0.00023231061985525724,7.172397773279992e-07,0.00015191570688849105,0.0,2.817601982475877e-05,0.0,0.06222454864755803,0.0,0.0037700755945285157,0.0,0.0009057214589950754,4.1870082099343085e-08,7.575673851873356e-05,5.1355800554749825e-09
2024,0.2620265763414541,0.00024887839983300043,0.014006937974136793,2.7382482626586383e-05,0.1968758914427701,0.00023301593144090172,0.009741255045345395,2.6097784321380992e-05,0.0006671666045378564,5.629781068460981e-06,0.00015514584354046015,4.67378050966572e-07,0.0011377818826251748,1.0114179229729989e-05,0.0002326400828091049,8.027846294449362e-07,0.00015206143481422553,0.0,2.8203048188109828e-05,0.0,0.06228708460773369,0.0,0.003773864537997982,0.0,0.0009065903689730556,1.1850809390776047e-07,7.582941625574027e-05,1.4535624793881156e-08
2025,0.2625478785046126,0.000361070716774226,0.014034932558710753,3.987311712658729e-05,0.1972692959677861,0.00034264034186145566,0.009760720373406083,3.837571828848303e-05,0.0006690286525209736,6.257585966715216e-06,0.00015557885233180037,5.194977028971123e-07,0.001140450854060015,1.1902009439324362e-05,0.0002331858022875903,9.446886415965974e-07,0.00015235099410126465,0.0,2.8256753156339658e-05,0.0,0.06240843523737573,0.0,0.0037812169584998234,0.0,0.000908316798768496,2.707795067307323e-07,7.597381902911524e-05,3.321249361055158e-08
2026,0.8806188524948085,0.0009735208130229568,0.047075349600852835,0.00010722026280905813,0.6616716987008544,0.0009149074786383882,0.032738964258636025,0.00010246963760749948,0.0022457119166663995,2.0590036136958993e-05,0.0005222276823963877,1.7093614906154636e-06,0.0038265092098177206,3.748565020526385e-05,0.0007823990107733679,2.9753184243639913e-06,0.0005109631911384468,0.0,9.476906172583247e-05,0.0,0.2093176061080993,0.0,0.012682184370078958,0.0,0.0030463633682321655,5.376480423456757e-07,0.00025480521724225526,6.594528657919543e-08
2027,0.8820923580132151,0.0012909226013745622,0.04715450201387549,0.00014255493901422345,0.6627840042079538,0.0012249691794768978,0.032794000208206046,0.00013719654810141253,0.002251072693294321,2.239751720681106e-05,0.0005234743008666676,1.8594165228295976e-06,0.003834127227657386,4.258909090609858e-05,0.0007839566522933506,3.3803897266275553e-06,0.0005117792901208637,0.0,9.492042475193762e-05,0.0,0.20966014541118383,0.0,0.012702938221971724,0.0,0.0030512291830048803,9.668137847548597e-07,0.00025521220578575974,1.1858466335377068e-07
2028,0.884321980157046,0.0017687063713892428,0.04727404761405253,0.00019576677788833295,0.6644640755576788,0.0016924117090038522,0.032877128738530985,0.00018955011140843144,0.002258250224777837,2.482332118999232e-05,0.0005251433954660886,2.0608040233201176e-06,0.003844946269146901,4.984323942369367e-05,0.0007861688009893982,3.9561674340779285e-06,0.0005130368150021631,0.0,9.515365966037028e-05,0.0,0.21018294452682593,0.0,0.012734613697801805,0.0,0.0030587267636143847,1.6281017717046654e-06,0.0002558393216038917,1.9969502250345824e-07
2029,0.8876116335770892,0.0024714545000778607,0.04745023105313112,0.0002740535653966961,0.666940241918126,0.002380578882885423,0.03299964738657394,0.0002666248348831674,0.0022680122119991533,2.8128962812020245e-05,0.0005274134907193299,2.335234648545077e-06,0.003860281364606582,6.013232015758978e-05,0.0007893043385929628,4.772834380221251e-06,0.0005149122844700127,0.0,9.550150562040423e-05,0.0,0.2109582772841842,0.0,0.012781589741335867,0.0,0.00306990851370339,2.6143342228275795e-06,0.000256774590288609,3.2066148476240154e-07
